,Name,Variants,Manufacturer,Prescription,Price,Offer Price,Product Link,Description,Categor or Sub Category,Availablity,Image Link
9,Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,Dr Reckeweg & Co,Not Required,₹163,"(['Pack of 2', '₹314.5'], ['Pack of 3', '₹460.65'])",https://www.1mg.com/otc/dr.-reckeweg-kali-phosphoricum-biochemic-tablet-6x-otc334909,"Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X aids in the reduction of mental stress and anxiety. It helps to increase stamina, improve nerve function, relieve menstrual discomfort, and manage urological issues. It also deals with gastrointestinal issues such as hard stools, diarrhoea, and cholera, as well as reducing excessive sweating.Key Ingredients:

Kali Phosphoricum

Key Benefits:

Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X is beneficial for reducing mental stress and anxiety


It helps in enhancing stamina. It improves nerve functioning, soothes menstrual problems and manages urological issues


It also deals with gastrointestinal problems such as hard stools, diarrhoea and cholera and reduces excess sweating

Directions For Use:Use as directed on the label or as advised by the physician.Safety Information:

Read the label carefully before use


Do not exceed the recommended dosage


Store in a cool and dry place away from direct sunlight


Keep out of reach of children
", -> Home -> Health Conditions -> Stomach Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/nf44m3snxzrafy1yoolw.jpg"
10,Simply Nutrition Glutathione & Vitamin C Effervescent Tablet Orange,bottle of 15 Effervescent Tablet,Ultravita,Not Required,₹500,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/simply-nutrition-glutathione-vitamin-c-effervescent-tablet-orange-otc785142,"Simply Nutrition Glutathione & Vitamin C Effervescent Tablet Orange Glutathione is found in every cell of our body and is an important antioxidant. It can support cellular health, nerves, and cognitive health. Glutathione may also support the functions of the body’s major detoxification pathways, like the liver, kidneys, GI tract, and intestines.This glutathione tablet works in two ways: it helps eliminate toxins and ingested chemicals that the body has absorbed and intercepts and neutralises toxins in the GI tract before they are absorbed.Key Ingredients:

Glutathione


Vitamin C

Key Benefits:

Glutathione is a powerful antioxidant that can fight free radicals


It can boost the immune system


It may promote brighter and glowing skin


It might reduce the early signs of ageing

Directions For Use:1 tablet per day or as directed by the healthcare professional.Safety Information:

Read the label carefully before use


Store in a cool and dry place


Keep out of reach of children


This product is not intended to diagnose, treat, cure, or prevent any disease


Do not exceed the recommended dosage
", -> Home -> Vitamins & Nutrition -> Vitamins & Supplements,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/207877aca0fa40be84816f38f451e5fe.jpg"
11,Fertisure M Nutraceutical Tablet,strip of 10 tablets,Sun Pharmaceutical Industries Ltd,Not Required,₹275,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/fertisure-m-nutraceutical-tablet-otc561134,"Fertisure M Nutraceutical Tablet is a combination of medicines used in the treatment of nutritional deficiencies. It is also used to treat male infertility. Fertisure supplements deficient nutrients and increases the quantity and motility of sperms.Key Ingredients:L-Carnitine, Ubidecarenone, Zinc, Lycopene and Astaxanthin tabletsKey Benefits:Fertisure helps the body perform various vital functions like maintaining healthy nerve tissue, reproductive health, and sperm countFertisure contains antioxidants that prevent the body from the damage caused by free radicalsFertisure improves general health and enhances the quality of lifeGood To Know:Formulated with L-Carnitine, Ubidecarenone, Zinc, Lycopene and Astaxanthin.Concerns It Can Help With: Nutritional deficienciesProduct Form: TabletDosage:Take this medicine in the dose and duration as advised by your doctorSwallow it as a whole. Do not chew, crush or break itFertisure tablet is to be taken with foodDirections For Use:Use as advised by your healthcare provider.Safety Information:Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry placeKeep it away from the reach of children", -> Home -> Vitamins & Nutrition -> Vitamins & Supplements,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/y2el0xkqnlx3q7xkrrtu.png"
12,Dr. Reckeweg R89 Hair Care Drop,bottle of 30 ml Drop,Dr Reckeweg & Co,Not Required,₹264,"(['Pack of 2', '₹508.4'], ['Pack of 3', '₹744'])",https://www.1mg.com/otc/dr.-reckeweg-r89-hair-care-drop-otc326064,"Dr. Reckeweg R89 Hair Care Drop is useful for maintaining and improving hair health as well as reducing excessive hair fall. It contains Alfalfa, which is high in vitamins A, C, E, and K and helps to keep hair healthy and strong. It also contains Lactuca Sativa, which is high in vitamin K and helps to strengthen the hair roots while reducing hair fall.Key Ingredients:AlfalfaLactuca SativaLecithinumOenothera biennisHypophysis PlantJuglansKalium phosphoricumKey Benefits:Dr. Reckeweg R89 Hair Care Drop is beneficial for maintaining and improving the hair health and reducing excess hair fallIt contains Alfalfa which is rich in vitamin A, C, E and K that helps in keeping the hair healthy and makes them strongerIt also contains Lactuca Sativa which is rich in vitamin K and strengthens the hair roots and reduces excess hair fallDirections For Use:Use as directed on the label or as advised by the physician.Safety Information:Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Featured -> Winter Care -> Hair & Scalp Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/mkt7x4zvbxyy19f6chv1.jpg"
13,Dr. Reckeweg R41 Sexual Neurasthenia Drop,bottle of 22 ml Drop,Dr Reckeweg & Co,Not Required,₹238,"(['Pack of 2', '₹459'], ['Pack of 3', '₹672.3'])",https://www.1mg.com/otc/dr.-reckeweg-r41-sexual-neurasthenia-drop-otc327434,"Dr. Reckeweg R41 Sexual Neurasthenia Drop is a proprietary blend of several homoeopathic herbs that helps improve sexual dysfunction in both men and women. It contains phosphoric acid and agnus castus, which eliminates weakness, fatigue, and general debility, particularly in men. Key Ingredients:Acidum phosphoricumAgnus castusConiumDamianaSepiaKey Benefits:It helps in increasing energy levels and strength in men and womenIt aids in reducing issues such as breast pain and helps manage premenstrual syndromeIt can help in overcoming physical weakness, overexcitement, and nervous exhaustionDirections For Use:Use as directed on the label or as advised by the physicianSafety Information:Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Homeopathy -> Homeopathy Top Brands -> Dr Reckeweg,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/dzaubdahczwueemszlfq.jpg"
14,"Mojocare Cmz Plus Tablet with Calcium, Magnesium & Zinc",bottle of 60 tablets,Alpha Digital Health Private Limited,Not Required,₹819,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/mojocare-cmz-plus-tablet-with-calcium-magnesium-zinc-otc682254,"Mojocare Cmz Plus Tablet is a mixture of calcium, magnesium and zinc that provides protection from the sun, boosts protein synthesis, recovers muscles, strengthens bones and rejuvenates overall health. These pills are manufactured entirely of natural substances and come with no negative side effects. This product is sugar-free and has great taste. The tablets boost energy levels all day long. The combination helps boost the metabolism rate in the body which improves blood flow and oxygen level and keeps the body functioning well. Regular use of these tablets along with a healthy balanced diet followed by a 5-10 minute workout can be highly beneficial for one's health.Key Ingredients:CalciumMagnesiumZincAlfalfaKey Benefits:Protects from the sun, boosts protein synthesis, recovers muscles, strengthens bones and rejuvenates overall healthThese pills are manufactured entirely of natural substances and come with no negative side effectsThe combination helps boost the metabolism rate in the body which improves blood flow and oxygen levelIt supports strong teeth and nerve function, enhanced energy, metabolism rate and immune system and keeps blood sugar under controlDirections For Use: Use as directed on the label.Safety Information:Do not use if the safety seal is damaged or missingDo not to exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of the reach of children"," -> Home -> Health Conditions -> Bone, Joint & Muscle Care",Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/836fb93d539e48a991c25ef60890e8dd.jpg"
15,Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,Dr Reckeweg & Co,Not Required,₹156,"(['Pack of 2', '₹303.4'], ['Pack of 3', '₹444'])",https://www.1mg.com/otc/dr.-reckeweg-calcarea-phosphorica-biochemic-tablet-6x-otc325463,"Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet 6X is a supplement for bones and teeth. It is widely given to treat teething difficulties in newborns, decrease tooth decay, and encourage the emergence of teeth on time after dental drilling or surgery. It helps to prevent teething issues like diarrhoea, appetite loss, low-grade fever, irritability, and biting.Key Ingredients:Calcarea Phosphorica BiochemicKey Benefits:Dr. Reckeweg Calcarea Phosphorica Biochemic Tablet is beneficial for accelerating the growth of bones and teethIt aids in the prevention of teething problems such as diarrhoea, loss of appetite, low-grade fever, irritability, and bitingIt also aids in speedy recovery from bone fractures, reduces joint and bone pain and lowers the risk of rheumatic arthritis in the elderlyDirections For Use:Use as directed on the label or as advised by the physician.Safety Information:Read the label carefully before useDo not exceed the recommended dosageStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Homeopathy -> Homeopathy Top Brands -> Dr Reckeweg,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/k4n2jkktusjogclbhqwf.jpg"
16,Dr. Reckeweg Berberis Vul Mother Tincture Q,bottle of 20 ml Mother Tincture,Dr Reckeweg & Co,Not Required,₹225,"(['Pack of 2', '₹438.6'], ['Pack of 3', '₹642.6'])",https://www.1mg.com/otc/dr.-reckeweg-berberis-vul-mother-tincture-q-otc327784,"Dr. Reckeweg Berberis Vul Mother Tincture is useful for the treatment of renal calculi or kidney stones. Kidney stones cause severe abdominal pain and it needs proper treatment. Berberis Vulgaris is an excellent remedy for its treatment and provides much need relief from such pains. It is also helpful in treating diarrhoea and constipation associated with renal calculi. It also helps in reducing bubbling sensation and stitching pain all around your body and leg.Key Ingredient:Berberis VulgarisKey Benefits:Effective in the treatment of kidney stones and pains associated with itCures constipation and diarrhoeaIt reduces arthritic pains in legs beginning from the backHelps in relieving inflammation and pain in gall bladderBurberis Vulgaris is a natural pain reliever and it soothes any such pains associated with renal calculiUseful in skin related ailments such as warts, pustules accompanied by itching of the skinBased on homoeopathic composition, it is safe to use and has no side effectsDirections For UseTake 10-15 drops of tincture diluted in half cup of water thrice a day or as directed by the physician.Safety Information:Read the label carefully before useDo not exceed the recommended dosageKeep out of the reach of childrenUse under medical supervisionStore ina a cool dry place away from direct sunlight and heat", -> Home -> Homeopathy -> Homeopathy Top Brands -> Dr Reckeweg,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/cropped/fro5odk7odsdy73bofio.jpg"
17,Dr Willmar Schwabe India Damiaplant Drop,bottle of 30 ml Drop,Dr Willmar Schwabe India Pvt Ltd,Not Required,₹314,"(['Pack of 2', '₹608'], ['Pack of 3', '₹888'])",https://www.1mg.com/otc/dr-willmar-schwabe-india-damiaplant-drop-otc325889,"It is used to treat sexual dysfunction in men by acting as an aphrodisiac. It is also used as a general tonic to boost overall health. It is known to promote immunity and also act as an antidepressant. It is also indicated for sexual health problems such as low sex drive and premature ejaculation in addition to impotence. It is also used to treat neurasthenia (sexual weakness), nervous exhaustion, and weakness.It is an Ayurvedic formulation that contains various herbs such as damiana, ginseng, agnus castus, nuphar Lutea, and Muira puama as active ingredients.These herbs are known to improve libido and overall function of the penis. The medicine being aphrodisiac in nature helps improve sperm count and boost sex drive. It is also seen to be beneficial in the treatment of erectile dysfunction (impotence) due to its role in strengthening the penile tissue and boosting the blood flow to the organ. The herbs present in this medicine aid in improving blood circulation and fighting free radicals. This in total helps to boost immunity, fight weakness, and improve mood.The drop is not known to cause any side effects when taken as recommended by your doctor. So, always take it as advised by your physician. Keep it out of reach of children and store it in a cool, dry place away from the sunlight. In case of any side effects or if your symptoms fail to improve, do consult your doctor at the earliest.Key ingredients:Damiana 1xGinseng1xAgnusCastus 2xNupharLutea 2xMuiraPuama 1xKey uses/benefits of Dr. Willmar Schwabe Germany Damiaplant Drop:Treats impotence, sexual weakness, nervous exhaustion, and emotional problemsProvides help in managing conditions like insufficient libido, erectile dysfunction, and premature ejaculationProvides relief from the retracted and relaxed penis and pain in the penis and testesTreats weakness of genital organs and related problemsHelps to treat lack of erection, low libido (sex drive), loss of prostatic fluid, or scanty emission without ejaculationActs as a powerful natural aphrodisiacAids in the treatment and management of sexual melancholia and nervous depressionImproves sexual stamina as well as overall metabolismDirections for use:You can take this medicine as directed by your doctor. However, ideally, it is recommended to take 10 drops of this medicine 3 to 4 times a day with some water for effective results.Quick tips for Dr Willmar Schwabe Germany Damiaplant Drop:Along with the medicine, have a healthy diet loaded with essential vitamins and minerals which help in improving your overall sexual function.Take the medicine at the same time every day to help you remember to take it. Follow your doctor’s instructions carefully to get the most out of this medication.Tell your doctor if you are taking any other medicines as they may affect or be affected by this medicine.If you are allergic to this tablet or any of its components, do not take this medicine.Read the label carefully before use and do not exceed the recommended dosage of the tablet.Always check with your doctor if you experience any side effects or allergic reactions due to the use of this medication.In case you miss a dose, take it as soon as you remember. However, if it is almost time for the next dose, skip the dose you missed and take your next dose at the scheduled time.Side effects of Dr Willmar Schwabe Germany Damiaplant Drop:This medicine is usually safe and doesn't cause any side effects when taken as per a doctor's recommendation.Storage and safety information:Read the label carefully before use.Keep out of reach of children.Store in a cool dry place away from direct sunlight.Use under medical supervision.Do not refrigerate.FAQs related to Dr Willmar Schwabe Germany Damiaplant Drop::Q. What is Dr Willmar Schwabe Germany Damiaplant Drop used for?It is used to treat sexual dysfunction in men by acting as an aphrodisiac. It is also used as a general tonic to boost overall health. It acts as an antidepressant that helps in mood upliftment. Along with that, it is known to promote immunity. It is also indicated for sexual health problems such as low sex drive and premature ejaculation in addition to impotence. It is also used to treat neurasthenia (sexual weakness), nervous exhaustion, and weakness.Q. How to take Dr Willmar Schwabe Germany Damiaplant Drop?The dosage of this tablet will depend on your condition. It would be best to consult your physician and take the dose as recommended. Usually, it is advised to take 10 drops 3 to 4 times a day with some water. However, it is always advised to follow the doctor's instructions regarding the dosage of this medicine because taking more than the recommended dose can cause side effects.Q. Is Dr Willmar Schwabe Germany Damiaplant Drop safe?Yes, it is mostly safe when taken under the supervision of a doctor. Do talk to your doctor if you are taking any medications for other health problems or if you are on other nutritional supplements to prevent any unwanted side effects.Q. Is Dr Willmar Schwabe Germany Damiaplant Drop good for erectile dysfunction?It is an Ayurvedic formulation that contains various herbs such as damiana, ginseng, agnus castus, nuphar Lutea, and Muira puama as active ingredients. These herbs are known to improve libido and overall function of the penis. The medicine is aphrodisiac in nature which helps improve sperm count and boost sex drive. It is also seen to be beneficial in the treatment of erectile dysfunction (impotence) due to its role in strengthening the penile tissue and boosting the blood flow to the organ. Q. Can I take Dr Willmar Schwabe Germany Damiaplant Drop with milk?Ideally, it is advised to take this medicine with water. But if you wish to take it with milk or any other liquid, do consult your doctor first.", -> Home -> Homeopathy,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/h8dkbc05zgx4zs2w9hvt.jpg"
18,Bgr 34 Tablet,bottle of 100 tablets,Aimil Pharmaceuticals India Ltd,Not Required,₹400,"(['No Offer Price'], [' '])",https://www.1mg.com/otc/bgr-34-tablet-otc322631,"Bgr 34 TabletBGR-34, a polyherbal formulation, is jointly developed by the Council of Scientific and Industrial Research (CSIR) Laboratories NBRI and CIMAP under the Government of India. BGR-34 is a novel advancement that is scientifically proven to be effective in regulating carbohydrate metabolism. BGR-34 is formulated to provide complete systemic and symptomatic wellness for patients. It is an encouraging, risk-free drug regimen that effectively maintains normal carbohydrate metabolism while lowering the risk of long-term complications. BGR-34 actively restores the function of various enzymes in the body such as encouraging incretins actions by inhibiting DPP-4 enzymes. BGR-34 nourishes and strengthens vital organs by supplementing various phytonutrients and also reducing oxidative damage caused by free radicals.Key Ingredients:Gudmar, Guduchi, Methi, Manjistha, Daruharidra. VijaysarIndications:It is indicated to maintain the carbohydrate metabolism, reduce fatigue and weakness and improve quality of life.Key Benefits:A natural formulation that is scientifically proven and optimised and helps maintain carbohydrate homeostasisOffers portent antioxidant activity and protects body tissues from the damage caused by free radicalsEnsures proper carbohydrate metabolism by effectively influencing the various enzymatic processes such as inhibiting the DPP-4 enzymeIt also contains essential phytoconstituents and derivatives that help boost the body defence systemDirections For Use:Take two tablets twice a day(should be taken 30 minutes before a meal).Safety Information:Read the label carefully before useDo not exceed the recommended dosageUse under medical supervisionStore in a cool and dry place", -> Home -> Ayurveda Products -> Top Health Concerns -> Diabetes Care,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/bwuybshbkvwpzw4opolr.jpg"
19,SBL Clearstone Drop,bottle of 30 ml Drop,SBL Pvt Ltd,Not Required,₹127,"(['Pack of 2', '₹244.9'], ['Pack of 3', '₹358.05'])",https://www.1mg.com/otc/sbl-clearstone-drop-otc326121,"SBL Clearstone Drop is a well-known product of SBL and is used to dissolve kidney stones, ureter stones or bladder stones. It is also used to provide relief from renal colic (pain).Key Ingredients:Berberis vulgaris QSarsaparilla QOcimum canum QSolidago virgaurea QPareira brava QSenecio aureus QKey Benefits:It helps to dissolve kidney, ureter and bladder stonesIt provides relief from renal colicIt relieves the urinary tract blockageDirections For Use:It is recommended to take 10-15 drops in 1/4 cup of water 3-4 times a day. Safety Information:Read the label carefully before useStore in a cool and dry place away from direct sunlightKeep out of reach of children", -> Home -> Featured -> Top Brands,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/bjjfwrmv8riajh5wzuue.jpg"
20,SBL Nux Vomica Dilution 30 CH,bottle of 30 ml Dilution,SBL Pvt Ltd,Not Required,₹75,"(['Pack of 2', '₹145.8'], ['Pack of 3', '₹213.3'])",https://www.1mg.com/otc/sbl-nux-vomica-dilution-30-ch-otc338194,"SBL Nux Vomica Dilution is used to cure a number of issues such as uncontrollable anger, irritability, constipation, nausea, vomiting, colic joint pains and other related issues. Nux Vomica is extremely helpful in correcting depressed thoughts and it elevates mood. Key Ingredients:Nux VomicaKey Benefits:It is primarily used to treat mood swings and uncontrollable angerRelives one of depressed thoughts and elevated mood, corrects irritable feelings and sulky moodSoothes severe headache aggravated after sun exposure or headaches related to hangover after drinking excessive alcoholCorrects sensitivity issues in eyes and soothes irritationIt is also helpful in curing flu like symptoms of cough, cold, constant sneezing and related issuesCures ulcers in the mouth accompanied by drynessCorrects tooth sensitivity especially after consuming cold itemsBased on homeopathic composition it is safe to use and has no side effectsDirections For Use:Use as directed by the physicianSafety Information:Read the label carefully before useDo not exceed the recommended doseKeep out of the reach of childrenStore in a cool dry place away from direct sunlight and heat", -> Home -> Homeopathy,Yes in Stock,"https://onemg.gumlet.io/l_watermark_346,w_690,h_700/a_ignore,w_690,h_700,c_pad,q_auto,f_auto/wrr3ep5l9hdhsejvtbut.jpg"
